source,target,value
developer,google-maps,3
developer,gnome,3
developer,extended-keyboard-ii,3
developer,eos-7d,3
developer,emacs,3
developer,drobo,3
developer,d90,3
developer,customizer-104-105,3
developer,cintiq,3
developer,boot-camp,3
developer,3007wfp,3
designer,xbox-360,3
designer,word,3
designer,twitter-ios,3
designer,tweetie-ios,3
designer,ps3,3
designer,path-finder,3
designer,omnigraffle-pro,3
designer,mighty-mouse,3
designer,macintosh-plus,3
designer,m9,3
designer,liveview-ios,3
designer,kindle,3
designer,iphone-3g,3
designer,iphone,3
designer,ipad-3,3
designer,ia-writer-ios,3
designer,fontexplorer-x,3
designer,final-cut-pro,3
designer,eos-5d-mark-ii,3
designer,cloudapp,3
designer,cinema-4d,3
designer,boot-camp,3
designer,airport-express,3
data,mail,3
data,magic-mouse,3
data,macbook-air,3
artist,xbox-360,3
artist,windows-xp,3
artist,time-capsule,3
artist,superduper,3
artist,magic-trackpad,3
artist,ipod-touch,3
artist,iphone-3gs,3
artist,instapaper-ios,3
writer,yeti,2
writer,writeboard,2
writer,wikipanion-ios,2
writer,wayback-machine,2
writer,ubuntu,2
writer,twitter-ios,2
writer,tripit-ios,2
writer,the-hit-list,2
writer,superduper,2
writer,studio-display,2
writer,stanza-ios,2
writer,skype-ios,2
writer,sketchup,2
writer,sequel-pro,2
writer,script-debugger,2
writer,rebel-xt,2
writer,precise-v5,2
writer,power-mac-g5,2
writer,power-mac-g4,2
writer,pitt-artist-pen,2
writer,photo-booth,2
writer,performance-mouse-mx,2
writer,peggle-ios,2
writer,path-finder,2
writer,omnifocus-ios,2
writer,notebook-mac,2
writer,mail-ios,2
writer,lightroom,2
writer,keyboard-maestro,2
writer,jungle-disk,2
writer,jerker,2
writer,ipod-nano,2
writer,ipod-classic,2
writer,ipad-3g,2
writer,intuos,2
writer,internet-explorer,2
writer,instacast-ios,2
writer,ia-writer-ios,2
writer,goodreader-ios,2
writer,gmail,2
writer,galaxy-s-ii,2
writer,flipboard-ios,2
writer,final-cut-pro,2
writer,excel,2
writer,evernote-ios,2
writer,eos-5d-mark-ii,2
writer,emacs,2
writer,ego-ios,2
writer,editplus,2
writer,due-ios,2
writer,audio-hijack-pro,2
writer,aperture,2
writer,acrobat,2
windows,xcode,2
windows,xbox-360-controller-for-windows,2
windows,words-with-friends-ios,2
windows,wii,2
windows,wifi-body-scale,2
windows,vmware-workstation,2
windows,total-commander,2
windows,time-machine,2
windows,thinkpad-x60,2
windows,thinkpad-t400,2
windows,subversion,2
windows,stanza-ios,2
windows,safari-ios,2
windows,remember-the-milk,2
windows,reeder-ios,2
windows,rebel-xt,2
windows,readynas-duo,2
windows,quickbooks,2
windows,psp,2
windows,precise-v5,2
windows,plan-9,2
windows,painter,2
windows,paint-shop-pro,2
windows,notebook-cooler,2
windows,nexus-s,2
windows,nexus-one,2
windows,nex-5n,2
windows,natural-keyboard,2
windows,movie-maker,2
windows,m9,2
windows,keyboard,2
windows,jerker,2
windows,ipad-3g,2
windows,ibooks-ios,2
windows,google-voice,2
windows,galaxy-s-ii,2
windows,flash-builder,2
windows,fl-studio,2
windows,expert-mouse,2
windows,editplus,2
windows,ec2,2
windows,dsi,2
windows,d700,2
windows,cubase-le,2
windows,boot-camp,2
windows,advantage-usb,2
windows,3007wfp,2
web,xbox-360,2
web,wow,2
web,wordpress-ios,2
web,visual-studio,2
web,twidroid-android,2
web,tweetie-ios,2
web,traktor-pro,2
web,thunderbolt-display,2
